User ID,Subscription Type,Monthly Revenue,Join Date,Last Payment Date,Country,Age,Gender,Device,Plan Duration
1001,Premium,12,12-08-22,03-07-23,United States,34,Female,Laptop,1 Month
1002,Basic,13,12-08-22,03-07-23,Canada,38,Female,Tablet,1 Month
1003,Standard,13,11-08-22,01-07-23,United Kingdom,46,Male,Smart TV,1 Month
1004,Premium,14,11-08-22,02-07-23,Australia,42,Male,Smart TV,1 Month
1005,Basic,12,10-08-22,02-07-23,Germany,46,Male,Laptop,1 Month
1006,Premium,10,31-07-22,03-07-23,France,51,Female,Smart TV,1 Month
1007,Basic,12,17-07-22,30-06-23,Brazil,35,Male,Smart TV,1 Month
1008,Standard,10,15-07-22,02-07-23,Mexico,34,Female,Smartphone,1 Month
1009,Standard,14,05-07-22,02-07-23,Spain,31,Female,Laptop,1 Month
1010,Basic,12,01-07-22,03-07-23,Italy,36,Female,Tablet,1 Month
1011,Premium,15,01-07-22,30-06-23,Spain,28,Male,Smart TV,1 Month
1012,Basic,15,26-06-22,01-07-23,Spain,29,Female,Smartphone,1 Month
1013,Standard,12,27-06-22,02-07-23,United States,42,Female,Smart TV,1 Month
1014,Premium,10,28-06-22,02-07-23,Canada,35,Female,Smartphone,1 Month
1015,Basic,12,28-06-22,30-06-23,United States,32,Female,Laptop,1 Month
1016,Premium,10,29-06-22,01-07-23,United States,43,Female,Tablet,1 Month
1017,Basic,10,26-06-22,02-07-23,Canada,29,Male,Smartphone,1 Month
1018,Standard,13,26-06-22,02-07-23,United Kingdom,35,Female,Tablet,1 Month
1019,Standard,14,24-06-22,30-06-23,Australia,27,Female,Tablet,1 Month
1020,Basic,13,21-06-22,01-07-23,Germany,38,Male,Tablet,1 Month
1021,Premium,13,22-06-22,03-07-23,France,33,Male,Smart TV,1 Month
1022,Basic,11,18-06-22,02-07-23,Brazil,48,Male,Laptop,1 Month
1023,Standard,10,18-06-22,02-07-23,Mexico,51,Female,Laptop,1 Month
1024,Premium,10,20-06-22,01-07-23,Spain,40,Female,Smartphone,1 Month
1025,Basic,13,23-06-22,03-07-23,Italy,28,Male,Smartphone,1 Month
1026,Premium,10,26-06-22,01-07-23,Spain,46,Female,Laptop,1 Month
1027,Basic,12,02-07-22,01-07-23,Spain,28,Female,Tablet,1 Month
1028,Standard,12,04-07-22,01-07-23,United States,47,Male,Tablet,1 Month
1029,Standard,10,07-07-22,02-07-23,Canada,47,Male,Smartphone,1 Month
1030,Basic,13,14-07-22,01-07-23,United States,50,Male,Smartphone,1 Month
1031,Premium,13,20-07-22,01-07-23,United States,50,Female,Smart TV,1 Month
1032,Basic,15,23-07-22,02-07-23,Canada,29,Male,Smartphone,1 Month
1033,Standard,15,30-07-22,01-07-23,United Kingdom,38,Male,Tablet,1 Month
1034,Premium,11,12-08-22,03-07-23,Australia,40,Female,Tablet,1 Month
1035,Basic,14,14-08-22,01-07-23,Germany,43,Male,Smartphone,1 Month
1036,Premium,14,22-08-22,04-07-23,France,27,Female,Smartphone,1 Month
1037,Basic,10,29-08-22,30-06-23,Brazil,37,Female,Tablet,1 Month
1038,Standard,12,02-09-22,03-07-23,Mexico,30,Male,Smartphone,1 Month
1039,Standard,13,03-09-22,01-07-23,Spain,50,Male,Laptop,1 Month
1040,Basic,11,04-09-22,04-07-23,Italy,51,Male,Smartphone,1 Month
1041,Premium,13,06-09-22,01-07-23,Spain,37,Female,Laptop,1 Month
1042,Basic,14,10-09-22,02-07-23,Spain,35,Female,Tablet,1 Month
1043,Standard,12,20-09-22,01-07-23,United States,35,Male,Tablet,1 Month
1044,Premium,11,26-09-22,03-07-23,Canada,46,Male,Tablet,1 Month
1045,Basic,13,04-10-22,01-07-23,United States,27,Male,Tablet,1 Month
1046,Basic,13,06-10-22,03-07-23,United States,27,Male,Laptop,1 Month
1047,Basic,13,07-10-22,01-07-23,Canada,39,Female,Laptop,1 Month
1048,Standard,15,08-10-22,03-07-23,United Kingdom,51,Male,Tablet,1 Month
1049,Premium,14,09-10-22,01-07-23,Australia,41,Male,Smartphone,1 Month
1050,Basic,15,10-10-22,03-07-23,Germany,30,Female,Smart TV,1 Month
1051,Basic,11,10-10-22,30-06-23,France,46,Male,Laptop,1 Month
1052,Premium,14,14-10-22,02-07-23,Brazil,31,Male,Tablet,1 Month
1053,Standard,13,15-10-22,01-07-23,Mexico,49,Male,Smartphone,1 Month
1054,Standard,12,17-10-22,03-07-23,Spain,39,Female,Tablet,1 Month
1055,Basic,11,23-10-22,01-07-23,Italy,47,Male,Smartphone,1 Month
1056,Premium,15,27-10-22,02-07-23,Spain,36,Female,Tablet,1 Month
1057,Standard,14,29-10-22,02-07-23,Spain,42,Female,Tablet,1 Month
1058,Basic,15,05-11-22,02-07-23,United States,28,Female,Smart TV,1 Month
1059,Standard,15,07-11-22,02-07-23,Canada,43,Male,Tablet,1 Month
1060,Premium,10,08-11-22,02-07-23,United States,50,Female,Laptop,1 Month
1061,Basic,15,09-11-22,01-07-23,United States,30,Female,Tablet,1 Month
1062,Premium,10,10-11-22,03-07-23,Canada,34,Female,Laptop,1 Month
1063,Standard,13,02-11-22,03-07-23,United Kingdom,35,Female,Laptop,1 Month
1064,Basic,11,31-10-22,02-07-23,Australia,29,Male,Tablet,1 Month
1065,Standard,15,29-10-22,02-07-23,Germany,33,Male,Smart TV,1 Month
1066,Premium,12,22-10-22,03-07-23,France,47,Male,Laptop,1 Month
1067,Basic,14,20-10-22,02-07-23,Brazil,32,Female,Tablet,1 Month
1068,Standard,15,21-10-22,04-07-23,Mexico,34,Female,Tablet,1 Month
